timestamp,temp1_black_evap_coil,temp2_thermocouple_cond_coil,temp3_thermocouple_evap_coil,stemp1_ambient_room,shumid1_ambient_room,stemp2_inlet,shumid2_inlet,stemp3_outlet,shumid3_outlet
1777238302,12.81,28.25,10.00,23.62,16.97,19.54,22.73,8.39,43.82
1777238304,12.81,28.00,9.75,23.69,16.97,19.55,22.71,8.22,44.11
1777238306,12.69,28.00,10.25,23.74,16.96,19.48,22.65,8.31,44.48
1777238307,12.63,28.25,10.25,23.82,16.98,19.61,22.67,8.20,44.76
1777238309,12.63,28.00,9.50,23.79,16.95,19.55,22.63,7.88,45.01
1777238310,12.56,27.75,10.00,23.70,16.93,19.66,22.63,8.51,45.42
1777238312,12.50,28.00,10.00,23.98,16.95,19.52,22.58,7.87,45.59
1777238314,12.38,28.25,10.25,23.78,16.92,19.79,22.60,7.88,45.89
1777238315,12.38,28.25,10.00,23.76,16.90,19.49,22.54,8.09,46.18
1777238317,12.31,28.25,10.25,23.91,16.91,19.55,22.54,7.86,46.41
1777238319,12.25,28.50,9.25,23.77,16.91,19.64,22.54,8.29,46.73
1777238320,12.19,28.50,10.25,23.84,16.92,19.66,22.53,7.85,46.94
1777238322,12.13,28.25,9.75,23.34,16.84,19.55,22.51,7.70,47.13
1777238323,12.13,28.25,10.25,23.73,16.86,19.65,22.51,7.50,47.34
1777238325,12.13,27.75,10.25,23.79,16.87,19.66,22.49,7.78,47.58
1777238327,12.06,28.50,9.75,23.82,16.87,19.65,22.49,7.82,47.77
1777238328,12.00,28.75,10.00,23.77,16.81,19.54,22.46,7.37,47.89
1777238330,12.00,28.50,9.75,24.03,16.88,19.62,22.44,7.26,48.05
1777238331,11.88,29.00,9.75,23.84,16.83,19.64,22.43,7.46,48.28
1777238333,11.88,28.50,10.00,23.41,16.77,19.45,22.41,7.54,48.46
1777238335,11.88,28.50,10.00,23.78,16.81,19.64,22.44,7.35,48.57
1777238336,11.81,28.50,10.25,23.91,16.85,19.60,22.43,7.78,48.82
1777238338,11.81,28.75,10.25,23.76,16.82,19.66,22.43,7.41,48.89
1777238339,11.75,28.00,9.75,23.87,16.83,19.71,22.45,7.42,49.03
1777238341,11.75,28.75,9.50,23.75,16.81,19.73,22.44,7.47,49.19
1777238343,11.75,28.25,9.75,23.98,16.83,19.55,22.42,7.40,49.29
1777238344,11.69,28.50,10.00,23.76,16.82,19.65,22.40,7.74,49.47
1777238346,11.63,28.25,9.75,23.49,16.79,19.62,22.37,7.34,49.52
1777238347,11.56,28.00,9.50,23.81,16.79,19.57,22.38,7.25,49.63
1777238349,11.56,28.25,10.00,24.11,16.80,19.67,22.38,7.36,49.76
1777238351,11.56,27.50,9.75,24.12,16.82,19.73,22.36,7.23,49.84
1777238352,11.50,28.00,10.00,23.80,16.77,19.52,22.31,7.39,49.97
1777238354,11.50,27.25,9.50,24.21,16.82,19.64,22.32,7.48,50.09
1777238355,11.44,27.50,10.00,24.01,16.80,19.66,22.31,7.15,50.14
1777238357,11.44,27.25,9.50,23.99,16.80,19.59,22.30,7.02,50.26
1777238359,11.31,27.00,9.50,23.84,16.78,19.71,22.34,7.16,50.41
1777238360,11.31,27.75,9.50,23.71,16.74,19.52,22.32,7.12,50.49
1777238362,11.31,27.50,9.50,23.95,16.78,19.82,22.35,6.97,50.60
1777238363,11.25,27.50,10.00,24.05,16.79,19.75,22.34,6.95,50.71
1777238365,11.19,27.50,9.50,23.69,16.75,19.74,22.34,6.86,50.82
1777238367,11.19,27.50,9.75,23.69,16.74,19.54,22.29,6.59,50.91
1777238368,11.13,27.00,9.50,23.95,16.77,19.65,22.33,7.05,51.09
1777238370,11.13,27.50,9.75,23.69,16.75,19.47,22.30,6.87,51.18
1777238372,11.13,27.25,9.50,24.07,16.79,19.66,22.33,6.89,51.30
1777238373,11.13,27.75,9.25,23.66,16.76,19.59,22.30,6.92,51.42
1777238375,11.13,27.75,9.25,23.53,16.74,19.53,22.29,6.83,51.51
1777238376,11.06,27.75,10.00,23.69,16.76,19.49,22.29,6.98,51.66
1777238378,11.06,27.50,9.75,24.09,16.80,19.52,22.29,6.50,51.67
1777238380,11.00,27.50,10.00,23.80,16.77,19.66,22.32,6.41,51.76
1777238381,11.06,27.75,9.50,23.73,16.75,19.65,22.33,6.59,51.89
1777238383,11.00,27.75,10.00,23.91,16.78,19.52,22.30,6.41,51.93
1777238384,11.00,27.75,10.00,23.65,16.74,19.58,22.29,7.05,52.12
1777238386,11.00,27.25,10.25,23.77,16.75,19.80,22.35,6.67,52.11
1777238388,11.00,27.50,10.00,23.65,16.73,19.52,22.30,6.48,52.14
1777238389,10.94,27.75,9.75,23.86,16.75,19.53,22.31,6.48,52.20
1777238391,10.94,27.25,10.00,23.68,16.73,19.45,22.30,6.31,52.23
1777238392,11.00,27.75,9.50,23.52,16.71,19.52,22.32,6.49,52.29
1777238394,10.94,27.75,9.75,23.74,16.73,19.72,22.34,6.50,52.33
1777238396,10.88,27.75,10.00,24.10,16.77,19.59,22.33,6.68,52.41
1777238397,10.88,27.50,9.75,23.86,16.75,19.69,22.34,6.56,52.42
1777238399,10.88,27.75,10.25,23.92,16.76,19.62,22.35,6.87,52.52
1777238400,10.81,27.25,9.00,23.83,16.73,19.55,22.36,6.59,52.52
1777238402,10.81,27.50,10.00,23.62,16.71,19.60,22.37,6.86,52.61
1777238404,10.81,27.00,9.75,23.84,16.72,19.48,22.35,6.57,52.60
1777238405,10.81,27.50,9.75,23.97,16.74,19.45,22.34,6.48,52.62
1777238407,10.75,27.25,9.50,23.82,16.72,19.64,22.35,6.76,52.72
1777238408,10.75,27.25,9.50,23.74,16.72,19.59,22.35,6.53,52.73
1777238410,10.75,27.75,9.25,24.12,16.76,19.66,22.36,6.20,52.71
1777238412,10.69,27.50,9.75,23.59,16.69,19.53,22.34,6.50,52.82
1777238413,10.69,27.50,9.25,23.62,16.69,19.62,22.37,6.47,52.86
1777238415,10.75,27.75,9.75,23.80,16.72,19.65,22.40,6.35,52.91
1777238416,10.75,27.75,9.75,23.69,16.70,19.59,22.40,6.44,52.97
1777238418,10.69,27.75,9.75,23.77,16.71,19.70,22.44,6.33,53.01
1777238420,10.69,27.50,10.25,23.71,16.70,19.54,22.44,6.94,53.17
1777238421,10.69,27.75,9.75,23.84,16.72,19.66,22.46,6.52,53.16
1777238423,10.69,27.75,9.75,24.12,16.75,19.69,22.48,6.37,53.17
1777238425,10.69,27.50,10.00,23.75,16.70,19.62,22.45,7.08,53.35
1777238426,10.69,27.75,10.00,23.75,16.69,19.47,22.42,7.10,53.40
1777238428,10.69,27.50,9.50,23.79,16.68,19.53,22.43,6.12,53.26
1777238429,10.63,27.25,9.75,23.55,16.66,19.62,22.44,6.51,53.39
1777238431,10.63,27.50,10.25,24.02,16.72,19.44,22.41,6.83,53.45
1777238433,10.69,27.75,9.75,23.93,16.71,19.52,22.42,5.99,53.34
1777238434,10.63,27.50,10.00,23.77,16.69,19.45,22.40,6.62,53.47
1777238436,10.63,27.50,9.75,23.70,16.68,19.56,22.41,6.51,53.48
1777238437,10.69,27.75,10.00,23.86,16.71,19.52,22.40,6.69,53.52
1777238439,10.63,27.50,10.00,23.71,16.69,19.44,22.38,7.02,53.61
1777238441,10.69,27.50,10.25,23.91,16.72,19.66,22.43,6.51,53.55
1777238442,10.63,27.25,10.00,23.59,16.69,19.70,22.42,6.16,53.51
1777238444,10.63,27.25,9.75,23.81,16.72,19.40,22.39,6.08,53.51
1777238445,10.56,27.50,10.00,23.80,16.72,19.62,22.43,6.38,53.57
1777238447,10.63,28.00,9.75,23.79,16.71,19.62,22.44,6.12,53.53
1777238449,10.63,27.25,9.75,23.97,16.71,19.55,22.43,6.47,53.60
1777238450,10.63,28.00,9.50,23.87,16.73,19.48,22.42,6.53,53.61
1777238452,10.63,27.75,9.50,23.75,16.70,19.50,22.44,6.50,53.63
1777238453,10.56,27.75,9.50,23.96,16.76,19.63,22.47,6.44,53.61
1777238455,10.63,28.25,10.00,24.08,16.76,19.37,22.45,6.40,53.62
1777238457,10.56,28.25,9.75,23.87,16.74,19.45,22.47,6.65,53.69
1777238458,10.56,28.25,9.25,23.68,16.71,19.40,22.47,6.51,53.66
1777238460,10.56,27.75,9.50,23.84,16.74,19.62,22.51,6.18,53.60
1777238461,10.63,28.00,10.25,24.06,16.76,19.53,22.50,6.44,53.65
1777238463,10.56,28.25,9.50,23.65,16.71,19.47,22.49,6.50,53.65
1777238465,10.63,28.00,10.00,23.90,16.74,19.34,22.48,6.81,53.70
1777238466,10.56,28.00,9.75,23.84,16.74,19.46,22.52,6.37,53.64
1777238468,10.56,28.25,9.75,23.80,16.74,19.71,22.58,6.66,53.69
1777238469,10.56,28.00,10.00,23.58,16.72,19.54,22.56,6.39,53.66
1777238471,10.56,28.00,10.00,23.83,16.73,19.57,22.57,6.51,53.69
1777238473,10.56,28.50,10.00,23.80,16.76,19.62,22.60,6.47,53.69
